subjectid,videoid,attention,mediation,theta,formula_score,formula_score_scaled,confusion_level,theta_mean,theta_std,theta_max,theta_min,predicted_confusion
7,2,56.0738,48.7787,66519.5738,114.9555,263172.7204,6,179214.8109,33664.5907,212879.4016,145550.2203,5
7,3,20.5086,57.9655,235540.1552,35.3807,0.0000,1,175073.6098,27774.0117,202847.6215,147299.5981,2
7,4,50.4236,47.3611,112684.2500,106.4663,235096.9244,5,-128740.9808,27986.4276,-100754.5532,-156727.4084,5
7,5,28.5854,54.2033,197816.0732,52.7374,57402.5533,2,241356.9096,44656.1329,286013.0425,196700.7766,2
7,6,60.8793,61.6293,81636.7672,98.7830,209686.6472,5,165427.4525,27359.2792,192786.7316,138068.1733,4
7,7,39.3065,42.8145,122886.0242,91.8064,186613.0968,4,98825.2952,28157.3294,126982.6246,70667.9658,4
7,8,48.3130,42.0687,110202.4580,114.8430,262800.8925,6,62218.1294,25661.0611,87879.1905,36557.0683,5
7,9,53.6525,54.1949,76548.7288,98.9992,210401.5783,5,65699.5122,20351.2227,86050.7349,45348.2895,4
8,0,50.6929,49.7500,211780.8429,101.8952,219979.2510,5,124482.1265,24228.6826,148710.8090,100253.4439,4
8,1,50.0493,64.4155,160941.9789,77.6976,139952.0487,3,153647.7291,33000.2051,186647.9342,120647.5240,4
8,2,52.9180,49.9262,169918.2951,105.9924,233529.8625,5,192779.2723,19721.2565,212500.5288,173058.0158,5
8,3,53.6379,54.3103,173771.5948,98.7619,209616.7261,5,147670.5856,35149.2953,182819.8809,112521.2903,4
8,4,34.3681,52.5903,324912.5833,65.3506,99117.5050,3,141360.1363,30608.5425,171968.6788,110751.5938,3
8,5,33.3089,46.0650,270415.0244,72.3085,122129.0090,3,69329.2491,23307.5158,92636.7649,46021.7333,3
8,6,47.7581,46.2419,215770.8065,103.2787,224554.8109,5,185037.8469,25797.4647,210835.3116,159240.3822,5
8,7,50.9344,48.3525,203572.5738,105.3399,231371.6912,5,89978.3403,34259.1802,124237.5205,55719.1600,4
8,8,36.9389,47.8855,298036.2443,77.1401,138108.3242,3,213885.7958,26759.6378,240645.4337,187126.1580,3
8,9,29.6017,39.6610,336215.3051,74.6368,129829.0732,3,163978.1188,34110.2247,198088.3435,129867.8942,3
9,0,35.0000,57.8472,232927.6458,60.5042,83089.3469,2,-43246.4850,45972.8609,2726.3760,-89219.3459,2
9,1,58.0571,41.1143,99995.6500,141.2092,350000.0000,7,238979.2356,24425.6938,263404.9294,214553.5418,6
9,2,39.7746,56.6056,161300.5704,70.2662,115374.7285,3,267832.5061,40107.8440,307940.3501,227724.6622,3
9,3,42.6557,62.2295,177976.1393,68.5458,109684.9617,3,175375.4514,13944.2939,189319.7454,161431.1575,3
9,4,38.9138,50.4224,159156.5862,77.1756,138225.6029,3,84669.7647,14412.0301,99081.7948,70257.7347,3
9,5,49.8130,41.0488,282487.5122,121.3508,284323.4843,6,136515.4404,36481.9221,172997.3625,100033.5183,5
9,6,29.6207,53.2931,193226.8707,55.5807,66806.2089,2,228872.2741,35030.5354,263902.8095,193841.7387,2
9,7,27.6339,48.3661,137478.2679,57.1349,71946.4106,2,300316.1265,29668.1042,329984.2307,270648.0222,2
9,8,55.5484,52.8790,198926.0484,105.0480,230406.4805,5,126137.3929,36838.5195,162975.9124,89298.8734,5
9,9,45.2623,46.5574,162498.6803,97.2183,204511.6884,5,108351.8577,26533.8099,134885.6676,81818.0477,4
